School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
NEWBURGH ENLARGED CITY SCHOOL DISTRICT,NEWBURGH FREE ACADEMY  - WEST,Orange,Public School,35,No,0,0,0,35,Yes,11/18/2016,25,10,Yes,Yes,11/17/2016,http://newburghschools.org,441600010018,39 WEST STREET,NEWBURGH,NY,12550,01/03/2017,01/03/2017,"(41.422459, -74.241929)","39 WEST STREET
NEWBURGH, NY 12550
(41.50286589800004, -74.03072557099995)"
NORWOOD NORFOLK CENTRAL SCHOOL,NORWOOD-NORFOLK GRADE SCHOOL,Saint Lawrence,Public School,90,No,0,0,0,90,Yes,09/15/2016,88,2,Yes,Yes,11/15/2016,http://www.nncsk12.org/,512201040002,RT 56,NORWOOD,NY,13668,11/16/2016,11/16/2016,"(44.689468, -75.242045)","56 NORWOOD
NY 13668
(44.74865993100008, -74.99625463999996)"
MARATHON CENTRAL SCHOOL DISTRICT,MARATHON HS,Cortland,Public School,70,No,0,0,0,70,Yes,10/01/2016,56,17,Yes,Yes,12/27/2016,http://www.marathonschools.org,110901040001,MARATHON HS,MARATHON,NY,13803,11/28/2016,01/05/2017,"(42.597101, -76.143291)","MARATHON HS MARATHON, NY 13803
(42.441619917000025, -76.03653312099993)"
MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,MOUNT MARKHAM S H S,Herkimer,Public School,128,No,0,0,0,128,Yes,10/21/2016,91,37,Yes,Yes,11/03/2016,http://www.mmcsd.org,212001040003,MOUNT MARKHAM S H S,WEST WINFIELD,NY,13491,11/22/2016,11/22/2016,"(43.070026, -74.994246)","MOUNT MARKHAM S H S WEST WINFIELD, NY 13491
(42.885469604000036, -75.19034735399998)"
JERICHO UNION FREE SCHOOL,GEORGE A JACKSON SCHOOL,Nassau,Public School,33,No,33,0,0,0,Yes,03/31/2016,33,0,Yes,Yes,09/22/2016,http://jerichoschools.org/UserFiles/Servers/Server_5887727/File/Lead/Jericho%20Lead%20in%20Water%20Initial%20Sampling%20Report%20Final%202.pdf,280515030002,MAYTIME DR,JERICHO,NY,11753,10/31/2016,10/31/2016,"(40.715749, -73.601185)","MAYTIME DR JERICHO, NY 11753
(40.783911319000026, -73.53494011999999)"
LIBERTY CENTRAL SCHOOL DISTRICT,LIBERTY HS,Sullivan,Public School,189,No,0,0,0,189,Yes,10/22/2016,189,0,No,No,,http://www.libertyk12.org,590901060006,125 BUCKLEY ST,LIBERTY,NY,12754,11/10/2016,11/10/2016,"(41.705166, -74.711705)","125 BUCKLEY ST
LIBERTY, NY 12754
(41.80527612600008, -74.75344897499997)"
LAKELAND CENTRAL SCHOOL DISTRICT,WALTER PANAS H S,Westchester,Public School,164,No,0,0,0,164,Yes,10/28/2016,69,95,Yes,Yes,10/29/2016,http://lakelandschools.org,662401060010,WALTER PANAS H S,CORTLANDT MANOR,NY,10567,01/09/2017,01/09/2017,"(41.039278, -73.805386)","WALTER PANAS H S CORTLANDT MANOR, NY 10567
(41.29920468000006, -73.88591330299994)"
MASSENA CENTRAL SCHOOL,MASSENA S H S,Saint Lawrence,Public School,194,No,76,0,0,118,Yes,10/28/2016,176,18,Yes,Yes,12/27/2016,http://www.mcs.k12.ny.us/,512001060008,HIGHLAND AVE,MASSENA,NY,13662,12/30/2016,12/30/2016,"(44.689468, -75.242045)","HIGHLAND AVE MASSENA, NY 13662
(44.93396225400005, -74.88680831099998)"
MIDDLETOWN CITY SCHOOLS,MONHAGEN MS,Orange,Public School,172,No,66,0,0,106,Yes,10/21/2016,122,50,Yes,Yes,11/22/2016,http://www.middletowncityschools.org,441000010014,555 COUNTY RET 78,MIDDLETOWN,NY,10940,12/02/2016,12/02/2016,"(41.422459, -74.241929)","555 COUNTY
MIDDLETOWN, NY 10940
(41.44574133700007, -74.41599019199998)"
GREENBURGH ELEVEN UFSD,GREENBURGH ELEVEN HS,Westchester,Public School,39,No,0,0,0,39,Yes,09/24/2016,35,4,Yes,Yes,10/13/2016,http://greenburgheleven.org,660411020004,GREENBURGH ELEVEN US,DOBBS FERRY,NY,10522,11/29/2016,11/29/2016,"(41.039278, -73.805386)","ELEVEN US DOBBS FERRY
NY 10522
(41.01476422400003, -73.87097224099995)"
LYNBROOK UNION FREE SCHOOL,MARION STREET SCHOOL,Nassau,Public School,70,No,43,0,0,17,Yes,09/27/2016,69,1,Yes,Yes,10/03/2016,http://www.lynbrookschools.org/schools/assets/fileupload/Lynbrook%20UFSD%20092716.pdf,280220030002,MARION ST,LYNBROOK,NY,11563,11/12/2016,11/12/2016,"(40.715749, -73.601185)","MARION ST LYNBROOK, NY 11563
(40.65637599000007, -73.67286446699995)"
HAVERSTRAW-STONEY POINT CSD,JAMES A FARLEY ELEMENTARY SCHOOL,Rockland,Public School,101,No,31,10,0,70,Yes,09/23/2016,76,27,Yes,Yes,10/21/2016,http://www.northrockland.org,500201060008,CENTRAL HWY,STONY POINT,NY,10980,11/10/2016,11/10/2016,"(41.127287, -74.017033)","CENTRAL HWY STONY POINT, NY 10980
(41.223681562000024, -73.99065964299996)"
MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,HOLBROOK ROAD SCHOOL,Suffolk,Public School,16,No,15,0,0,0,Yes,05/27/2016,15,1,Yes,Yes,08/22/2016,http://www.middlecountry.k12.ny.us,580211060003,HOLBROOK RD,CENTEREACH,NY,11720,11/01/2016,11/01/2016,"(40.820237, -73.119032)","HOLBROOK RD CENTEREACH, NY 11720
(40.85683033300006, -73.08926167099997)"
ITHACA CITY SCHOOLS,NORTHEAST SCHOOL,Tompkins,Public School,65,No,65,0,0,0,Yes,08/02/2016,11,54,Yes,Yes,08/16/2016,http://www.ithacacityschools.org/districtpage.cfm?pageid=601,610600010011,425 WINTHROP DR,ITHACA,NY,14850,12/28/2016,12/28/2016,"(42.461024, -76.478784)","425 WINTHROP DR
ITHACA, NY 14850
(42.473981887000036, -76.46801010799999)"
LOCUST VALLEY CENTRAL SCHOOL,LOCUST VALLEY HS/MS,Nassau,Public School,278,No,53,0,0,225,Yes,10/14/2016,176,102,Yes,Yes,11/09/2016,http://www.lvcsd.k12.ny.us,280503060003,HORSE HOLLOW RD,LOCUST VALLEY,NY,11560,11/10/2016,11/29/2016,"(40.715749, -73.601185)","HORSE HOLLOW RD LOCUST VALLEY, NY 11560
(40.87858096900004, -73.59783449899999)"
MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,BICYCLE PATH ELEMENTARY SCHOOL,Suffolk,Public School,33,No,31,0,0,0,Yes,06/03/2016,31,2,Yes,Yes,08/22/2016,http://www.middlecountry.k12.k12.ny.us,580211060006,27 NORTH BICYCLE PATH,SELDEN,NY,11784,11/01/2016,11/01/2016,"(40.820237, -73.119032)","27 NORTH BICYCLE PATH
SELDEN, NY 11784
(40.870440607000035, -73.03285213799995)"
IROQUOIS CENTRAL SCHOOL,MARILLA ES,Erie,Public School,66,No,0,0,0,66,Yes,09/30/2016,53,13,Yes,Yes,10/13/2016,http://www.iroquoiscsd.org/Page/7370,141301060003,BULLIS RD,MARILLA,NY,14102,11/09/2016,11/09/2016,"(42.888143, -78.795544)","BULLIS RD MARILLA, NY 14102
(42.83435602000003, -78.55511923399996)"
PITTSFORD CENTRAL SCHOOL,MENDON CENTER ELEMENTARY SCHOOL,Monroe,Public School,46,No,17,0,0,26,Yes,10/12/2016,36,10,Yes,Yes,11/11/2016,http://www.pittsfordschools.org,261401060005,110 MENDON CENTER ROAD,PITTSFORD,NY,14534,11/10/2016,11/17/2016,"(43.161748, -77.620143)","110 MENDON CENTER ROAD
PITTSFORD, NY 14534
(43.07003816400004, -77.52657813799993)"
IROQUOIS CENTRAL SCHOOL,IROQUOIS MS,Erie,Public School,96,No,0,0,0,96,Yes,09/28/2016,93,3,Yes,Yes,10/18/2016,http://www.iroquoiscsd.org/Page/7370,141301060005,BOX 32 GIRDLE RD,ELMA,NY,14059,11/10/2016,11/10/2016,"(42.888143, -78.795544)","32 GIRDLE RD
ELMA, NY 14059
(42.83050156400003, -78.60599981899998)"
PANAMA CENTRAL SCHOOL DISTRICT,PANAMA JSHS,Chautauqua,Public School,209,No,0,0,0,209,Yes,09/19/2016,,,No,No,,http://www.pancent.org,061601040001,41 NORTH ST,PANAMA,NY,14767,11/09/2016,,"(42.246904, -79.315313)","41 NORTH ST
PANAMA, NY 14767
(42.078177125000025, -79.48330761899996)"
HILTON CENTRAL SCHOOL,MERTON WILLIAMS MIDDLE SCHOOL,Monroe,Public School,76,No,76,0,0,0,Yes,04/28/2016,74,2,Yes,Yes,06/10/2016,http://www.hilton.k12.ny.us,261101060005,200 SCHOOL LANE,HILTON,NY,14468,11/10/2016,11/10/2016,"(43.161748, -77.620143)","200 SCHOOL LANE
HILTON, NY 14468
(43.29012110100007, -77.80094764099994)"
LOWVILLE CENTRAL SCHOOL,LOWVILLE ELEM SCHOOL,Lewis,Public School,86,No,86,0,0,30,Yes,09/24/2016,86,0,Yes,Yes,10/26/2016,http://www.lowvilleacademy.org/,230901040001,7668 STATE ST,LOWVILLE,NY,13367,10/15/2016,10/27/2016,"(43.785537, -75.446296)","7668 STATE ST
LOWVILLE, NY 13367
(43.79147783900004, -75.49656262299999)"
MOUNT VERNON CITY SCHOOLS,DAVIS MIDDLE SCHOOL,Westchester,Public School,,No,,,,,No,,,,No,No,,,660900010022,350 GRAMATAN AVE,MT VERNON,NY,10550,,,"(41.039278, -73.805386)","350 GRAMATAN AVE MT
VERNON, NY 10550
(40.910926102000076, -73.83778464399995)"
NORTH COLLINS CENTRAL SCHOOL,NORTH COLLINS J S H S,Erie,Public School,160,No,0,0,0,160,Yes,10/08/2016,100,17,Yes,Yes,01/05/2017,http://www.northcollins.com/,142201040001,2045 SCHOOL ST,NORTH COLLINS,NY,14111,11/08/2016,01/05/2017,"(42.888143, -78.795544)","2045 SCHOOL ST NORTH
COLLINS, NY 14111
(42.59859506400005, -78.93871415099994)"
ISLIP UNION FREE SCHOOL,ISLIP J H S,Suffolk,Public School,27,No,26,0,0,0,Yes,06/24/2016,26,1,Yes,Yes,09/22/2016,http://www.islipufsd.org,580502020004,211 MAIN ST,ISLIP,NY,11751,11/02/2016,11/02/2016,"(40.820237, -73.119032)","211 MAIN ST
ISLIP, NY 11751
(40.727935186000025, -73.22085588599998)"
KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,BENJAMIN FRANKLIN MIDDLE SCHOOL,Erie,Public School,134,No,0,0,0,134,Yes,09/30/2016,89,45,Yes,Yes,11/21/2016,http://ktufsd.org/watertesting,142601030003,540 PARKHURST BLVD,BUFFALO,NY,14223,10/25/2016,11/21/2016,"(42.888143, -78.795544)","540 PARKHURST BLVD
BUFFALO, NY 14223
(42.97312869700005, -78.83239782899994)"
KINGSTON CITY SCHOOLS,ROBERT R  GRAVES SCHOOL,Ulster,Public School,71,No,0,0,0,71,Yes,09/17/2016,71,16,Yes,Yes,10/30/2016,http://kingstoncityschools.org,620600010017,345 MOUNTAINVIEW AVE,PORT EWEN,NY,12466,10/25/2016,12/15/2016,"(41.848374, -74.099412)","345 MOUNTAINVIEW AVE PORT
EWEN, NY 12466
(41.90670057300008, -73.97713912499995)"
HAUPPAUGE UNION FREE SCHOOLS,FOREST BROOK KNDG CTR,Suffolk,Public School,97,No,30,0,0,61,Yes,09/29/2016,79,18,Yes,Yes,10/05/2016,http://www.hauppauge.k12.ny.us/Page/7819,580506030008,LILAC LA,SMITHTOWN,NY,11787,11/11/2016,11/11/2016,"(40.820237, -73.119032)","LILAC LA SMITHTOWN, NY 11787
(40.85643033400004, -73.19446691399997)"
JERICHO UNION FREE SCHOOL,SEAMAN ELEMENTARY SCHOOL,Nassau,Public School,14,No,14,0,0,0,Yes,03/31/2016,14,0,Yes,Yes,09/22/2016,http://jerichoschools.org/UserFiles/Servers/Server_5887727/File/Lead/Jericho%20Lead%20in%20Water%20Initial%20Sampling%20Report%20Final%202.pdf,280515030003,CEDAR SWAMP RD,JERICHO,NY,11753,10/31/2016,10/31/2016,"(40.715749, -73.601185)","CEDAR SWAMP RD JERICHO, NY 11753
(40.783911319000026, -73.53494011999999)"
LOCKPORT CITY SCHOOLS,ANNA MERRITT ELEM SCHOOL,Niagara,Public School,67,No,0,0,0,67,Yes,09/22/2016,50,17,Yes,Yes,10/06/2016,http://www.lockportschools.org/,400400010001,389 GREEN ST,LOCKPORT,NY,14094,10/17/2016,10/17/2016,"(43.134634, -78.856419)","389 GREEN ST
LOCKPORT, NY 14094
(43.17353830600007, -78.70645370399995)"
MONTICELLO CENTRAL SCHOOL,EMMA C CHASE SCHOOL,Sullivan,Public School,62,No,18,0,0,44,Yes,09/27/2016,59,3,Yes,Yes,11/01/2016,http://www.monticelloschools.net/,591401060002,28 PENNSYLVANIA AVE,WURTSBORO,NY,12790,11/09/2016,12/05/2016,"(41.705166, -74.711705)","28 PENNSYLVANIA AVE
WURTSBORO, NY 12790
(41.572583749000046, -74.48348730999999)"
MORAVIA CENTRAL SCHOOL DISTRICT,MORAVIA JSHS,Cayuga,Public School,76,No,69,0,0,0,Yes,07/01/2016,69,7,Yes,Yes,07/15/2016,http://www.moraviaschool.org/teacherpage.cfm?teacher=3108,051301040003,68 S. MAIN ST,MORAVIA,NY,13118,10/28/2016,10/28/2016,"(42.940095, -76.560755)","68 S MAIN ST
MORAVIA, NY 13118
(42.707512886000075, -76.42090389699996)"
HAMILTON CENTRAL SCHOOL,HAMILTON JSHS,Madison,Public School,10,This school has one or more lead-free buildings,9,0,0,1,Yes,10/07/2016,10,0,No,Yes,11/07/2016,http://www.hamiltoncentral.org,250701040001,W KENDRICK AVENUE,HAMILTON,NY,13346,11/08/2016,11/08/2016,"(42.986917, -75.720031)","W KENDRICK AVENUE HAMILTON, NY 13346
(42.82343001700008, -75.54671093499996)"
NEWBURGH ENLARGED CITY SCHOOL DISTRICT,MEADOW HILL GLOBAL EXPLORATIONS MAGNET,Orange,Public School,123,No,0,0,0,123,Yes,11/18/2016,107,14,Yes,Yes,11/17/2016,http://newburghschools.org,441600010021,124 MEADOW HILL RD,NEWBURGH,NY,12550,12/22/2016,12/12/2016,"(41.422459, -74.241929)","124 MEADOW HILL RD
NEWBURGH, NY 12550
(41.524566675000074, -74.08327155799998)"
HOOSIC VALLEY CENTRAL SCHOOL,HOOSIC VALLEY J S H S,Rensselaer,Public School,126,No,0,0,0,126,Yes,10/20/2016,109,17,Yes,Yes,12/05/2016,http://www.hoosicvalley.k12.ny.us,491401040002,1548 NY ROUTE 67,SCHAGHTICOKE,NY,12154,11/30/2016,12/19/2016,"(42.70098, -73.628669)","1548 NY ROUTE
SCHAGHTICOKE, NY 12154
(42.93548592900004, -73.58102220799998)"
LYONS CENTRAL SCHOOL,LYONS MIDDLE SCHOOL,Wayne,Public School,14,No,0,0,0,14,Yes,10/29/2016,14,0,Yes,Yes,11/18/2016,http://www.lyonscsd.org,650501040003,10 CLYDE RD,LYONS,NY,14489,11/28/2016,11/28/2016,"(43.144336, -77.117995)","10 CLYDE RD
LYONS, NY 14489
(43.06392523200003, -76.98513745699995)"
HUNTER TANNERSVL CENT SCH,HUNTER ELEM SCHOOL,Greene,Public School,58,No,0,0,0,58,Yes,09/21/2016,54,4,Yes,Yes,12/15/2016,http://htcsd.org,190901040003,7794 MAIN ST,HUNTER,NY,12442,12/13/2016,12/21/2016,"(42.298326, -73.973376)","7794 MAIN ST
HUNTER, NY 12442
(42.20891620800006, -74.21160092799994)"
MOUNT VERNON CITY SCHOOLS,LONGFELLOW MIDDLE SCHOOL,Westchester,Public School,,No,,,,,No,,,,No,No,,,660900010023,624 SOUTH THIRD AVE,MT VERNON,NY,10550,,,"(41.039278, -73.805386)","624 SOUTH THIRD AVE MT
VERNON, NY 10550
(40.89613576600004, -73.82883743199994)"
MOUNT VERNON CITY SCHOOLS,PENNINGTON SCHOOL,Westchester,Public School,,No,,,,,No,,,,No,No,,,660900010009,FAIRWAY + E DEVONIA,MT VERNON,NY,10552,,,"(41.039278, -73.805386)","FAIRWAY E DEVONIA MT VERNON, NY 10552
(40.92312059500006, -73.83436821299995)"
JEFFERSON CSD,JEFFERSON CENTRAL SCHOOL,Schoharie,Public School,54,No,0,0,0,54,Yes,09/23/2016,53,1,Yes,Yes,11/20/2016,http://jeffersoncs.org,540901040001,1332 STATE ROUTE 10,JEFFERSON,NY,12093,11/10/2016,11/21/2016,"(42.643426, -74.434606)","1332 STATE ROUTE
JEFFERSON, NY 12093
(42.481358184000044, -74.61019249499998)"
MARATHON CENTRAL SCHOOL DISTRICT,MARATHON ES,Cortland,Public School,135,No,0,0,0,135,Yes,09/24/2016,130,5,Yes,Yes,10/24/2016,http://www.marathonschools.org,110901040002,24 ALBRO RD,MARATHON,NY,13803,11/18/2016,11/28/2016,"(42.597101, -76.143291)","24 ALBRO RD
MARATHON, NY 13803
(42.454995343000064, -76.03932447499994)"
NEW HYDE PK-GARDEN CITY PK UFSD,NEW HYDE PARK ROAD SCHOOL,Nassau,Public School,49,No,11,0,0,38,Yes,11/07/2016,64,5,Yes,Yes,01/27/2017,http://nhp-gcp.org/departments.cfm?subpage=164813,280405020002,NEW HYDE PARK RD,NEW HYDE PARK,NY,11040,01/30/2017,01/30/2017,"(40.715749, -73.601185)","NEW HYDE PARK RD NEW HYDE PARK, NY 11040
(40.73310595400005, -73.68702881899998)"
NORTH COLONIE CENTRAL SCHOOL DISTRICT,SHAKER HS,Albany,Public School,341,No,0,0,0,341,Yes,10/23/2016,271,70,No,Yes,12/16/2016,http://www.northcolonie.org/,010623060010,445 WATERVLIET SHAKER RD,LATHAM,NY,12110,11/07/2016,01/12/2017,"(42.678066, -73.814233)","445 WATERVLIET SHAKER RD
LATHAM, NY 12110
(42.73123487100003, -73.74773975299996)"
PHOENIX CENTRAL SCHOOL,JOHN C BIRDLEBOUGH H S,Oswego,Public School,158,No,17,0,0,134,Yes,10/05/2016,108,50,Yes,Yes,10/20/2016,http://www.phoenixcsd.org/Portals/0/lead%20test%20results.pdf?ver=2016-10-24-152922-090,462001060006,552 MAIN ST,PHOENIX,NY,13135,10/24/2016,10/24/2016,"(43.39123, -76.31133)","552 MAIN ST
PHOENIX, NY 13135
(43.23461502200007, -76.30514774999995)"
LEWISTON PORTER CENTRAL SCHOOL,LEWISTON PORTER J H S,Niagara,Public School,13,This school has one or more lead-free buildings,0,0,0,13,Yes,09/14/2016,13,1,Yes,Yes,10/26/2016,http://www.lew-port.com,400301060005,4061 CREEK RD,YOUNGSTOWN,NY,14174,11/29/2016,11/29/2016,"(43.134634, -78.856419)","4061 CREEK RD
YOUNGSTOWN, NY 14174
(43.21674972100004, -79.01770253899997)"
PERU CENTRAL SCHOOL,PERU ELEMENTARY SCHOOL,Clinton,Public School,166,No,0,0,0,166,Yes,09/24/2016,145,21,Yes,Yes,11/25/2016,http://www.perucsd.org,091101060004,116 PLEASANT ST,PERU,NY,12972,10/27/2016,11/29/2016,"(44.731944, -73.548883)","116 PLEASANT ST
PERU, NY 12972
(44.580456810000044, -73.53738396099999)"
LAWRENCE UNION FREE SCHOOL,LAWRENCE EARLY CHILDHOOD CENTER AT #4 SCHOOL,Nassau,Public School,81,No,76,0,0,56,Yes,11/03/2016,76,5,Yes,Yes,11/03/2016,http://Lawrence.org,280215030004,87 WANSER AVENUE,INWOOD,NY,11096,11/16/2016,11/16/2016,"(40.715749, -73.601185)","87 WANSER AVENUE
INWOOD, NY 11096
(40.616302620000056, -73.74078614899997)"
KINGSTON CITY SCHOOLS,KINGSTON S H S,Ulster,Public School,244,No,0,0,0,244,Yes,10/15/2016,102,10,Yes,Yes,12/07/2016,http://kingstoncityschools.org,620600010022,403 BROADWAY,KINGSTON,NY,12401,10/24/2016,12/15/2016,"(41.848374, -74.099412)","403 BROADWAY
KINGSTON, NY 12401
(41.92655400900003, -73.99611005999998)"
JOHNSTOWN CITY SCHOOLS,JANSEN AVENUE SCHOOL (Lead reporting only),Fulton,Public School,46,No,4,0,0,42,Yes,09/29/2016,21,25,Yes,Yes,11/28/2016,http://www.johnstownschools.org,170600010008,305 JANSEN AVE,JOHNSTOWN,NY,12095,10/13/2016,12/01/2016,"(43.06014, -74.331296)","305 JANSEN AVE
JOHNSTOWN, NY 12095
(43.01205138200004, -74.36285559699996)"
OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD,OPPENHEIM-EPHRATAH-ST JOHNSVILLE ELEMENTARY,Montgomery,Public School,88,No,0,0,0,88,Yes,09/19/2016,71,17,Yes,Yes,10/07/2016,http://www.oesj.org,271201040001,6486 STATE HIGHWAY 29,ST JOHNSVILLE,NY,13452,11/01/2016,11/02/2016,"(42.933637, -74.341972)","6486 STATE HIGHWAY 29 ST
JOHNSVILLE, NY 13452
(43.06034023500007, -74.66352132799994)"
GREENBURGH-NORTH CASTLE UFSD,CLARK ACADEMY,Westchester,Public School,,No,,,,,No,,,,No,No,,,660412020003,71 S BROADWAY,DOBBS FERRY,NY,10522,,,"(41.039278, -73.805386)","71 S BROADWAY DOBBS FERRY
NY 10522
(41.00619644000005, -73.87950819199995)"
KINGS PARK CENTRAL SCHOOL,FORT SALONGA ES,Suffolk,Public School,41,No,41,0,0,0,Yes,05/19/2016,41,0,Yes,Yes,07/21/2016,http://www.kpcsd.org/documents.cfm?id=5123,580805060006,39 SUNKEN MEADOW RD,NORTHPORT,NY,11768,11/11/2016,11/11/2016,"(40.820237, -73.119032)","39 SUNKEN MEADOW RD
NORTHPORT, NY 11768
(40.89953641500006, -73.28743861199996)"
PATCHOGUE-MEDFORD U F SCH,EAGLE DRIVE ELEM SCHOOL,Suffolk,Public School,54,No,28,0,0,0,Yes,08/09/2016,28,26,Yes,Yes,09/15/2016,http://www.pmschools.org,580224030009,1000 WAVE AVE,MEDFORD,NY,11763,11/08/2016,11/08/2016,"(40.820237, -73.119032)","1000 WAVE AVE
MEDFORD, NY 11763
(40.83296242900008, -72.98963588099997)"
ISLIP UNION FREE SCHOOL,SHERWOOD ELEM SCHOOL,Suffolk,Public School,14,No,14,0,0,0,Yes,06/23/2016,14,0,Yes,Yes,09/22/2016,http://www.islipufsd.org,580502020005,SMITH AVE,ISLIP,NY,11751,11/02/2016,11/02/2016,"(40.820237, -73.119032)","SMITH AVE ISLIP, NY 11751
(40.732070340000064, -73.21753672499995)"
HILTON CENTRAL SCHOOL,HILTON H S,Monroe,Public School,89,No,89,0,0,0,Yes,05/11/2016,86,3,Yes,Yes,06/10/2016,http://www.hilton.k12.ny.us,261101060004,400 EAST AVE,HILTON,NY,14468,11/10/2016,11/10/2016,"(43.161748, -77.620143)","400 EAST AVE
HILTON, NY 14468
(43.29191615600007, -77.78079036699995)"
MATTITUCK-CUTCHOGUE U F S,MATTITUCK J S H S,Suffolk,Public School,221,No,11,0,0,210,Yes,10/13/2016,106,115,Yes,Yes,12/22/2016,http://mufsd.com,581012020001,15125 MAIN RD,MATTITUCK,NY,11952,12/22/2016,12/22/2016,"(40.820237, -73.119032)","15125 MAIN RD
MATTITUCK, NY 11952
(40.99494290600006, -72.52698161199999)"
MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,CENTEREACH H S,Suffolk,Public School,15,No,14,0,0,0,Yes,05/24/2016,14,1,Yes,Yes,08/22/2016,http://www.middlecountry.k12.ny.us,580211060016,14 43RD ST,CENTEREACH,NY,11720,11/01/2016,11/01/2016,"(40.820237, -73.119032)","14 43RD ST
CENTEREACH, NY 11720
(40.873254866000025, -73.08921651899993)"
HALF HOLLOW HILLS CENTRAL SCH,WEST HOLLOW J H S,Suffolk,Public School,46,No,41,0,0,0,Yes,06/03/2016,41,5,Yes,Yes,09/22/2016,http://www.halfhollowhills.k12.ny.us,580405060014,250 OLD EAST NECK RD,MELVILLE,NY,11747,11/10/2016,11/10/2016,"(40.820237, -73.119032)","250 OLD EAST NECK RD
MELVILLE, NY 11747
(40.77342516400006, -73.40398228399994)"
LAURENS CENTRAL SCHOOL,LAURENS CENTRAL SCHOOL,Otsego,Public School,75,This school has one or more lead-free buildings,0,0,0,75,Yes,09/20/2016,75,0,Yes,Yes,01/10/2017,http://www.laurenscs.org,470801040001,55 MAIN STREET,LAURENS,NY,13796,12/14/2016,01/11/2017,"(42.564852, -75.060334)","55 MAIN STREET
LAURENS, NY 13796
(42.531037094000055, -75.08872332999994)"
MOUNT PLEASANT-COTTAGE U F S,MT PLEASANT COTTAGE MID/ELEM SCHOOL,Westchester,Public School,67,No,0,0,0,63,Yes,09/24/2016,63,4,Yes,Yes,10/19/2016,,660804020004,MT PLEASANT COTTAGE MID/ELEM SCHOOL,PLEASANTVILLE,NY,10570,11/07/2016,11/07/2016,"(41.039278, -73.805386)","MT PLEASANT COTTAGE MID ELEM SCHOOL PLEASANTVILLE, NY 10570
(41.13346121700005, -73.78760256499999)"
NORTH BELLMORE U F S,MARTIN AVE ELEMENTARY SCHOOL,Nassau,Public School,27,This school has one or more lead-free buildings,27,0,0,0,Yes,04/13/2016,27,0,Yes,Yes,09/22/2016,http://www.northbellmoreschools.org,280204020007,2616 MARTIN AVE,BELLMORE,NY,11710,11/08/2016,11/08/2016,"(40.715749, -73.601185)","2616 MARTIN AVE
BELLMORE, NY 11710
(40.67442235500005, -73.53183194899998)"
MASSAPEQUA UNION FREE SCHOOL,BIRCH LANE ELEM SCHOOL,Nassau,Public School,71,No,69,0,0,0,Yes,06/16/2016,69,2,Yes,Yes,09/28/2016,http://www.msd.k12.ny.us,280523030001,BIRCH LN,MASSAPEQUA PARK,NY,11762,10/31/2016,10/31/2016,"(40.715749, -73.601185)","BIRCH LN MASSAPEQUA PARK, NY 11762
(40.678144434000046, -73.45412660299996)"
MENANDS UNION FREE SCHOOL DISTRICT,MENANDS SCHOOL,Albany,Public School,61,No,0,0,0,0,Yes,09/27/2016,53,8,Yes,Yes,10/25/2016,http://www.menands.org,010615020001,WARDS LN,MENANDS,NY,12204,10/26/2016,10/26/2016,"(42.678066, -73.814233)","WARDS LN MENANDS, NY 12204
(42.68196184200008, -73.73818349799996)"
PALMYRA-MACEDON CENTRAL SCHOOL,PALMYRA MACEDON S H S,Wayne,Public School,161,No,121,0,0,0,Yes,08/30/2016,121,40,Yes,Yes,09/10/2016,http://www.palmaccsd.org/,650901060001,151 HYDE PKY,PALMYRA,NY,14522,10/07/2016,10/07/2016,"(43.144336, -77.117995)","151 HYDE PKY
PALMYRA, NY 14522
(43.05926721800006, -77.24437374599995)"
ORCHARD PARK CENTRAL SCHOOL,EGGERT ROAD ELEM SCHOOL,Erie,Public School,151,No,0,0,0,151,Yes,09/23/2016,127,24,Yes,Yes,10/28/2016,http://opschools.org,142301060003,EGGERT RD,ORCHARD PARK,NY,14127,11/21/2016,12/05/2016,"(42.888143, -78.795544)","EGGERT RD ORCHARD PARK, NY 14127
(42.76607398200008, -78.74837085399997)"
PARISHVL HOPKINTON CENT SCH,PARISHVILLE-HOPKINGTON ELEMENTARY,Saint Lawrence,Public School,32,No,0,0,0,32,Yes,09/22/2016,28,4,Yes,Yes,11/30/2016,http://phcs.neric.org/,512501040002,12 COUNTY RT 47,PARISHVILLE,NY,13672,10/17/2016,12/01/2016,"(44.689468, -75.242045)","12 COUNTY
PARISHVILLE, NY 13672
(44.62410952700003, -74.81504956799995)"
