"","Active.Date","COUNTY","SED.CODE","LEGAL.NAME","INSTITUTION.TYPE.CODE","INSTITUTION.TYPE.DESCRIPTION","INSTITUTION.SUB.TYPE.CODE","INSTITUTION.SUB.TYPE.DESCRIPTION","NEEDS.RESOURCE.CODE","NEEDS.RESOURCE.DESCRIPTION","GRADE.ORGANIZATION.CODE","GRADE.ORGANIZATION.DESCRIPTION","COMMUNITY.TYPE.CODE","COMMUNITY.TYPE.DESCRIPTION","MAILING.ADDRESS","MAIL.CITY","STATE","ZIP","SALUTATION","CEO.FIRST.NAME","CEO.LAST.NAME","CEO.PHONE","CEO.EMAIL","lon","lat"
"19","7/1/1980","CAYUGA",51901040002,"ANDREW J SMITH ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"PO BOX 760","UNION SPRINGS","NY",13160,"MS.","KAREN","BURCROFF",3158897102,"kburcroff@unionspringscsd.org",-76.688815,42.835915
"20","7/1/1980","CAYUGA",51901040003,"CAYUGA ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"PO BOX 266","CAYUGA","NY",13034,"MS.","SHEILA","LADOUCE",3158894170,"sladouce@unionspringscsd.org",-76.723018,42.917751
"21","7/1/1980","CAYUGA",51901040005,"UNION SPRINGS HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",4,"Junior Senior School",77,77,"PO BOX 508","UNION SPRINGS","NY",13160,"MR.","CHARLES","WALKER",3158894110,"cwalker@unionspringscsd.org",-76.6933589,42.8499689
"22","7/1/2015","CAYUGA",51901040006,"UNION SPRINGS MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",8,"Other",77,77,"239 CAYUGA ST","UNION SPRINGS","NY",13160,"MR.","MICHAEL","WURSTER",3158894110,"mwurster@unionspringscsd.org",-76.6933589,42.8499689
"23","7/1/1980","CORTLAND",110101040001,"CINCINNATUS ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",1,"Elementary",77,77,"2809 CINCINNATUS RD","CINCINNATUS","NY",13040,"MR.","THOMAS","DURKOT",6078633200,"tdurkot@cc.cnyric.org",-75.8979055,42.5440319
"24","7/1/1980","CORTLAND",110101040002,"CINCINNATUS HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",5,"Senior High",77,77,"2809 CINCINNATUS RD","CINCINNATUS","NY",13040,"MR.","DAVID","PHETTEPLACE",6078633022,"dphetteplace@cc.cnyric.org",-75.8979055,42.5440319
"25","7/1/2003","CORTLAND",110101040003,"CINCINNATUS MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",2,"Middle School",77,77,"2809 CINCINNATUS RD","CINCINNATUS","NY",13040,"MR.","DAVID","PHETTEPLACE",6078633200,"dphetteplace@cc.cnyric.org",-75.8979055,42.5440319
"26","7/1/1980","CORTLAND",110200010003,"FRANKLYN S BARRY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"20 RAYMOND AVE","CORTLAND","NY",13045,"MR.","DOUGLAS","PASQUERELLA",6077584150,"dpasquerella@cortlandschools.org",-76.1930145,42.5875389
"27","7/1/1980","CORTLAND",110200010004,"VIRGIL ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"1208 CHURCH ST","CORTLAND","NY",13045,"MS.","LISA","KAUP",6077584130,"lkaup@cortlandschools.org",-76.195947,42.50891
"28","7/1/1980","CORTLAND",110200010008,"ALTON B PARKER SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"89 MADISON AVE","CORTLAND","NY",13045,"MR.","JOSHUA","BACIGALUPI",6077584160,"jbacigalupi@cortlandschools.org",-76.1888766,42.6039575
"29","7/1/1980","CORTLAND",110200010009,"RANDALL SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"31 RANDALL ST","CORTLAND","NY",13045,"MR.","CLIFFORD","KOSTUK",6077584170,"ckostuk@cortlandschools.org",-76.1746573,42.5942782
"30","7/1/1980","CORTLAND",110200010010,"F E SMITH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"33 WHEELER AVE","CORTLAND","NY",13045,"MS.","ANGELA","WANISH",6077584180,"awanish@cortlandschools.org",-76.1899059,42.612065
"31","7/1/1980","CORTLAND",110200010011,"CORTLAND JUNIOR-SENIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",4,"Junior Senior School",74,74,"8 VALLEY VIEW DR","CORTLAND","NY",13045,"MR.","JOSEPH","MACK",6077584100,"jcmack@cortlandschools.org",-76.1743216,42.5883985
"32","7/1/1980","CORTLAND",110304040001,"MCGRAW ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",1,"Elementary",77,77,"PO BOX 556","MCGRAW","NY",13101,"MS.","SUSAN","PRINCE",6078363650,"sprince@mcgrawschools.org",-76.101013,42.591562
"34","7/1/1980","CORTLAND",110701060001,"HOMER SENIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",5,"Senior High",76,76,"PO BOX 500","HOMER","NY",13077,"MR.","DOUGLAS","VAN ETTEN",6077497246,"dvanetten@homercentral.org",-76.189375,42.630339
"35","7/1/1980","CORTLAND",110701060002,"HOMER ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"PO BOX 500","HOMER","NY",13077,"MR.","JAMES","MCGORY",6077491250,"jmcgory@homercentral.org",-76.1802758,42.6359709
"36","7/1/1980","CORTLAND",110701060003,"HOMER INTERMEDIATE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"PO BOX 500","HOMER","NY",13077,"MS.","STEPHANIE","FALLS",6077491240,"sfalls@homercentral.org",-76.1832645,42.6434687
"37","7/1/1999","CORTLAND",110701060006,"HOMER JUNIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",2,"Middle School",76,76,"PO BOX 500","HOMER","NY",13077,"MR.","THOMAS","TURCK",6077491240,"tturck@homercentral.org",-76.1832645,42.6434687
"39","7/1/1980","CORTLAND",110901040002,"WILLIAM APPLEBY ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",1,"Elementary",77,77,"PO BOX 339","MARATHON","NY",13803,"MR.","JONATHAN","HILLIS",6078493281,"hillisj@marathonschools.org",-76.0352439,42.454836
"40","7/1/1980","MADISON",250109040001,"BROOKFIELD CENTRAL SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",6,"K-12 School",77,77,"PO BOX 60","BROOKFIELD","NY",13314,"MS.","CARRIE","SMITH",3158993323,"csmith@brookfieldcsd.org",-75.31552,42.814087
"41","7/1/1980","MADISON",250201060001,"CAZENOVIA MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",2,"Middle School",76,76,"31 EMORY AVE","CAZENOVIA","NY",13035,"DR.","JEAN","REGAN",3156551324,"jregan@caz.cnyric.org",-75.8573425,42.9342105
"42","7/1/1980","MADISON",250201060002,"CAZENOVIA HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",4,"Junior Senior School",76,76,"31 EMORY AVE","CAZENOVIA","NY",13035,"MR.","ERIC","KNUTH",3156551314,"eknuth@caz.cnyric.org",-75.8584375,42.9338641
"43","7/1/1980","MADISON",250201060006,"BURTON STREET ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"37 BURTON ST","CAZENOVIA","NY",13035,"MS.","MARYANN","MACINTOSH",3156551325,"mmacintosh@caz.cnyric.org",-75.8458029,42.9342162
"44","7/1/1980","MADISON",250301040001,"DERUYTER HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",4,"Junior Senior School",77,77,"711 RAILROAD ST","DERUYTER","NY",13052,"DR.","SARAH","STACK FEINBERG",3158523400,"sfeinberg@deruytercentral.org",-75.8909798,42.7576161
"45","7/1/1987","MADISON",250301040002,"DERUYTER ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",1,"Elementary",77,77,"711 RAILROAD ST","DERUYTER","NY",13052,"MS.","KIMBERLY","O'BRIEN",3158523400,"obrien@deruytercentral.org",-75.8909246,42.7575643
"46","7/1/1980","MADISON",250401040001,"EDWARD R ANDREWS ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",1,"Elementary",77,77,"PO BOX 990","MORRISVILLE","NY",13408,"MS.","DEBRA","DUSHKO",3156849288,"ddushko@m-ecs.org",-75.6442558,42.8954478
"48","7/1/1980","MADISON",250701040001,"HAMILTON JUNIOR-SENIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",4,"Junior Senior School",77,77,"47 W KENDRICK AVE","HAMILTON","NY",13346,"MR.","WILLIAM","DOWSLAND",3158246320,"wdowsland@hamiltoncentral.org",-75.5468157,42.8215511
"49","7/1/1990","MADISON",250701040002,"HAMILTON ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"47 W KENDRICK AVE","HAMILTON","NY",13346,"MR.","KEVIN","ELLIS",3158246330,"kellis@hamiltoncentral.org",-75.5468157,42.8215511
"50","7/1/1980","MADISON",250901060003,"PETERBORO STREET ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"220 N PETERBORO ST","CANASTOTA","NY",13032,"MS.","JENNIFER","CARNAHAN",3156972027,"jcarnahan@canastotacsd.org",-75.7499589,43.0818264
"51","7/1/1980","MADISON",250901060004,"CANASTOTA HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",4,"Junior Senior School",76,76,"101 ROBERTS ST","CANASTOTA","NY",13032,"MR.","JAY","ALTOBELLO",3156972003,"jaltobello@canastotacsd.org",-75.7463007,43.0837991
"52","7/1/1980","MADISON",250901060005,"ROBERTS STREET MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"120 ROBERTS ST","CANASTOTA","NY",13032,"MS.","MELISSA","STANEK",3156972029,"mstanek@canastotacsd.org",-75.7463007,43.0837991
"53","7/1/1980","MADISON",250901060006,"SOUTH SIDE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"200 HIGH ST","CANASTOTA","NY",13032,"MS.","JENNIFER","CARNAHAN",3156976372,"jcarnahan@canastotacsd.org",-75.748048,43.074376
"54","7/1/1980","MADISON",251101040003,"MADISON CENTRAL SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",6,"K-12 School",77,77,"PO BOX 155","MADISON","NY",13402,"MR.","LARRY","NICHOLS",3158931878,"lnichols@madisoncentralny.org",-75.5161145,42.8994827
"55","7/1/1994","MADISON",251400010003,"NORTH BROAD STREET SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",1,"Elementary",74,74,"230 N BROAD ST","ONEIDA","NY",13421,"MR.","WILLIAM","SIMMONS",3153633650,"wsimmons@oneidacsd.org",-75.6560772,43.0978623
"56","7/1/1994","MADISON",251400010005,"SENECA STREET SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",1,"Elementary",74,74,"436 SENECA ST","ONEIDA","NY",13421,"MS.","MOLLY","HAGAN",3153633930,"mhagan@oneidacsd.org",-75.6533484,43.085717
"57","7/1/1994","MADISON",251400010006,"W F PRIOR ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",1,"Elementary",74,74,"205 EAST AVE","ONEIDA","NY",13421,"MS.","MOIRA","YARDLEY",3153632190,"myardley@oneidacsd.org",-75.6470886,43.0899723
"58","7/1/1994","MADISON",251400010008,"OTTO L SHORTELL MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",2,"Middle School",74,74,"BOX 716","WAMPSVILLE","NY",13163,"MR.","TODD","WIDRICK",3153631050,"twidrick@oneidacsd.org",-75.7107994,43.0783142
"59","7/1/1994","MADISON",251400010009,"ONEIDA SENIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",5,"Senior High",74,74,"560 SENECA ST","ONEIDA","NY",13421,"MR.","BRIAN","GALLAGHER",3153636901,"bgallagher@oneidacsd.org",-75.6545506,43.0808952
"60","7/1/1980","MADISON",251501040001,"STOCKBRIDGE VALLEY CENTRAL SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",6,"K-12 School",77,77,"PO BOX 732","MUNNSVILLE","NY",13409,"MR.","RONALD","SPADAFORA",3154954450,"rspadafora@stockbridgevalley.org",-75.5977287,42.9803765
"61","7/1/1980","MADISON",251601060001,"BRIDGEPORT ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"9076 NORTH RD","BRIDGEPORT","NY",13030,"MS.","MARY","FARBER",3156872272,"mfarber@chittenangoschools.org",-75.969894,43.1621763
"62","7/1/1980","MADISON",251601060002,"BOLIVAR ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"6983 BOLIVAR RD","CHITTENANGO","NY",13037,"MR.","BENJAMIN","NEW",3156872882,"bnew@chittenangoschools.org",-75.8862215,43.0624997
"64","7/1/1980","MADISON",251601060005,"CHITTENANGO HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",5,"Senior High",76,76,"150 W GENESEE ST","CHITTENANGO","NY",13037,"MR.","NICHOLAS","FERSCH",3156872978,"nfersch@chittenangoschools.org",-75.8728211,43.0447364
"65","7/1/1980","ONONDAGA",420101060001,"EAST HILL ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"401 BLACKMORE RD","CAMILLUS","NY",13031,"MS.","LISA","CRAIG",3154874648,"lcraig@westgenesee.org",-76.2863251,43.0348159
"66","7/1/1980","ONONDAGA",420101060003,"STONEHEDGE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"400 SANDERSON DR","CAMILLUS","NY",13031,"MR.","BRENT","SUDDABY",3154874631,"bsuddaby@westgenesee.org",-76.2700165,43.045841
"67","7/1/1980","ONONDAGA",420101060005,"ONONDAGA ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"703 ONONDAGA RD","SYRACUSE","NY",13219,"MS.","JEANNETTE","CLARK",3154874653,"jclark@westgenesee.org",-76.2327058,43.0404365
"68","7/1/1980","ONONDAGA",420101060006,"SPLIT ROCK ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"4151 SPLIT ROCK RD","CAMILLUS","NY",13031,"MR.","TODD","FREEMAN",3154874656,"tfreeman@westgenesee.org",-76.226134,43.023131
"69","7/1/1980","ONONDAGA",420101060008,"WEST GENESEE MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",2,"Middle School",75,75,"500 SANDERSON DR","CAMILLUS","NY",13031,"MR.","STEPHEN","DUNHAM",3154874615,"sdunham@westgenesee.org",-76.2712625,43.0440735
"71","7/1/1980","ONONDAGA",420101060011,"CAMILLUS MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",2,"Middle School",75,75,"5525 IKE DIXON RD","CAMILLUS","NY",13031,"MS.","BETH","LOZIER",3156723159,"blozier@westgenesee.org",-76.3371105,43.0407053
"72","7/1/1980","ONONDAGA",420303060001,"ALLEN ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"803 ALLEN RD","NORTH SYRACUSE","NY",13212,"MR.","DAVID","LUNDEN",3152182300,"dlunden@nscsd.org",-76.156985,43.132761
"73","7/1/1980","ONONDAGA",420303060002,"KARL W SAILE BEAR ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"5590 BEAR RD","NORTH SYRACUSE","NY",13212,"MR.","JOHN","COLE",3152182400,"jcole2@nscsd.org",-76.1316359,43.1435118
"74","7/1/1980","ONONDAGA",420303060003,"CICERO ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"5979 RT 31","CICERO","NY",13039,"MS.","KATHLEEN","WHEELER",3152182500,"kwheeler3@nscsd.org",-76.10649,43.1769593
"75","7/1/1980","ONONDAGA",420303060004,"LAKESHORE ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"7180 LAKESHORE RD","CICERO","NY",13039,"MR.","MATTHEW","MOTALA",3152182600,"mmotala@nscsd.org",-76.0281303,43.1877708
"76","7/1/1980","ONONDAGA",420303060007,"ROXBORO ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"200 BERNARD ST","SYRACUSE","NY",13211,"MS.","JACQUELYN","GRACE",3152182700,"jgrace@nscsd.org",-76.149344,43.1017221
"77","7/1/1980","ONONDAGA",420303060008,"SMITH ROAD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"5959 SMITH RD","NORTH SYRACUSE","NY",13212,"MR.","GREGORY","STONE",3152182800,"gstone@nscsd.org",-76.105226,43.1365752
"79","7/1/1980","ONONDAGA",420303060010,"NORTH SYRACUSE JUNIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",3,"Junior High School",75,75,"5353 W TAFT RD","NORTH SYRACUSE","NY",13212,"MS.","CONSTANCE","TUROSE",3152183600,"cturose@nscsd.org",-76.1455844,43.1262488
"80","7/1/1980","ONONDAGA",420303060011,"ROXBORO ROAD MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",2,"Middle School",75,75,"300 BERNARD ST","SYRACUSE","NY",13211,"MR.","DAVID","SHAW",3152183300,"dshaw@nscsd.org",-76.150883,43.1010865
"84","7/1/1980","ONONDAGA",420401060002,"FREMONT ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"115 RICHMOND RD W","EAST SYRACUSE","NY",13057,"MR.","NATHAN","HACKER",3154343480,"nhacker@esmschools.org",-76.034633,43.066578
"85","7/1/2001","ONONDAGA",420401060003,"EAST SYRACUSE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"230 KINNE ST","EAST SYRACUSE","NY",13057,"MR.","RON","PERRY",3154343850,"rperry@esmschools.org",-76.0756314,43.0691167
"86","7/1/1980","ONONDAGA",420401060004,"WOODLAND ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"6316 FREMONT RD","EAST SYRACUSE","NY",13057,"MS.","GINA","TERZINI",3154343440,"gterzini@esmschools.org",-76.0229618,43.0760585
