name	month	Gender	Ethnicity	IEP	satisfactory	mildly.chronic	moderately.chronic	chronic
Bellevue Elementary School	5	Male	Black	No	43	24	20	21
Bellevue Elementary School	5	Male	Black	Yes	13	14	11	8
Bellevue Elementary School	5	Male	Hispanic	No	7	3	5	4
Bellevue Elementary School	5	Male	Hispanic	Yes	3	3	3	5
Bellevue Elementary School	5	Male	Other	No	5	1	5	8
Bellevue Elementary School	5	Male	Other	Yes	6	0	1	2
Bellevue Elementary School	5	Male	White	No	5	4	2	10
Bellevue Elementary School	5	Male	White	Yes	4	3	5	1
Bellevue Elementary School	6	Female	Black	No	52	22	19	13
Bellevue Elementary School	6	Female	Black	Yes	13	4	3	2
Bellevue Elementary School	6	Female	Hispanic	No	9	10	9	8
Bellevue Elementary School	6	Female	Hispanic	Yes	2	3	2	1
Bellevue Elementary School	6	Female	Other	No	7	8	5	6
Bellevue Elementary School	6	Female	Other	Yes	2	1	0	3
Bellevue Elementary School	6	Female	White	No	9	9	3	6
Bellevue Elementary School	6	Female	White	Yes	3	4	4	0
Bellevue Elementary School	6	Male	Black	No	58	19	16	16
Bellevue Elementary School	6	Male	Black	Yes	15	9	11	10
Bellevue Elementary School	6	Male	Hispanic	No	6	4	5	3
Bellevue Elementary School	6	Male	Hispanic	Yes	4	2	4	4
Bellevue Elementary School	6	Male	Other	No	4	2	7	4
Bellevue Elementary School	6	Male	Other	Yes	2	2	4	1
Bellevue Elementary School	6	Male	White	No	4	7	4	5
Bellevue Elementary School	6	Male	White	Yes	4	4	3	4
Bellevue Elementary School	7	Female	Black	No	52	23	20	12
Bellevue Elementary School	7	Female	Black	Yes	11	3	7	1
Bellevue Elementary School	7	Female	Hispanic	No	18	4	7	9
Bellevue Elementary School	7	Female	Hispanic	Yes	1	5	0	2
Bellevue Elementary School	7	Female	Other	No	12	6	4	4
Bellevue Elementary School	7	Female	Other	Yes	1	3	1	1
Bellevue Elementary School	7	Female	White	No	15	5	3	3
Bellevue Elementary School	7	Female	White	Yes	6	0	3	1
Bellevue Elementary School	7	Male	Black	No	55	11	19	22
Bellevue Elementary School	7	Male	Black	Yes	20	8	12	5
Bellevue Elementary School	7	Male	Hispanic	No	8	1	5	4
Bellevue Elementary School	7	Male	Hispanic	Yes	5	2	4	3
Bellevue Elementary School	7	Male	Other	No	9	1	4	3
Bellevue Elementary School	7	Male	Other	Yes	4	2	1	2
Bellevue Elementary School	7	Male	White	No	10	3	3	5
Bellevue Elementary School	7	Male	White	Yes	5	4	0	5
Bellevue Elementary School	8	Female	Black	No	47	18	25	15
Bellevue Elementary School	8	Female	Black	Yes	10	5	5	1
Bellevue Elementary School	8	Female	Hispanic	No	15	9	6	7
Bellevue Elementary School	8	Female	Hispanic	Yes	4	0	2	2
Bellevue Elementary School	8	Female	Other	No	4	10	4	8
Bellevue Elementary School	8	Female	Other	Yes	2	4	0	0
Bellevue Elementary School	8	Female	White	No	12	5	6	2
Bellevue Elementary School	8	Female	White	Yes	5	3	2	0
Bellevue Elementary School	8	Male	Black	No	49	22	21	15
Bellevue Elementary School	8	Male	Black	Yes	19	8	9	9
Bellevue Elementary School	8	Male	Hispanic	No	6	6	4	1
Bellevue Elementary School	8	Male	Hispanic	Yes	2	0	9	2
Bellevue Elementary School	8	Male	Other	No	3	6	4	4
Bellevue Elementary School	8	Male	Other	Yes	1	3	4	1
Bellevue Elementary School	8	Male	White	No	10	2	6	3
Bellevue Elementary School	8	Male	White	Yes	3	6	2	3
Bellevue Elementary School	9	Female	Black	No	59	10	25	10
Bellevue Elementary School	9	Female	Black	Yes	15	2	3	2
Bellevue Elementary School	9	Female	Hispanic	No	18	2	7	9
Bellevue Elementary School	9	Female	Hispanic	Yes	5	1	1	1
Bellevue Elementary School	9	Female	Other	No	14	3	6	4
Bellevue Elementary School	9	Female	Other	Yes	4	0	2	0
Bellevue Elementary School	9	Female	White	No	18	1	3	3
Bellevue Elementary School	9	Female	White	Yes	5	2	3	0
Bellevue Elementary School	9	Male	Black	No	64	18	19	7
Bellevue Elementary School	9	Male	Black	Yes	23	8	12	2
Bellevue Elementary School	9	Male	Hispanic	No	10	5	1	1
Bellevue Elementary School	9	Male	Hispanic	Yes	8	1	4	1
Bellevue Elementary School	9	Male	Other	No	7	3	5	3
Bellevue Elementary School	9	Male	Other	Yes	4	1	4	0
Bellevue Elementary School	9	Male	White	No	11	3	1	5
Bellevue Elementary School	9	Male	White	Yes	7	2	2	2
Bellevue Elementary School	10	Female	Black	No	92	0	0	11
Bellevue Elementary School	10	Female	Black	Yes	22	0	0	0
Bellevue Elementary School	10	Female	Hispanic	No	29	0	0	7
Bellevue Elementary School	10	Female	Hispanic	Yes	8	0	0	0
Bellevue Elementary School	10	Female	Other	No	26	0	0	1
Bellevue Elementary School	10	Female	Other	Yes	4	0	0	2
Bellevue Elementary School	10	Female	White	No	24	0	0	1
Bellevue Elementary School	10	Female	White	Yes	9	0	0	1
Bellevue Elementary School	10	Male	Black	No	99	0	0	9
Bellevue Elementary School	10	Male	Black	Yes	41	0	0	4
Bellevue Elementary School	10	Male	Hispanic	No	17	0	0	0
Bellevue Elementary School	10	Male	Hispanic	Yes	14	0	0	0
Bellevue Elementary School	10	Male	Other	No	14	0	0	4
Bellevue Elementary School	10	Male	Other	Yes	9	0	0	0
Bellevue Elementary School	10	Male	White	No	20	0	0	0
Bellevue Elementary School	10	Male	White	Yes	12	0	0	1
Clary Middle School	1	Female	Black	No	84	11	5	4
Clary Middle School	1	Female	Black	Yes	19	2	3	0
Clary Middle School	1	Female	Hispanic	No	14	2	2	0
Clary Middle School	1	Female	Hispanic	Yes	1	1	1	0
Clary Middle School	1	Female	Other	No	5	5	1	1
Clary Middle School	1	Female	Other	Yes	2	0	0	1
Clary Middle School	1	Female	White	No	15	2	2	1
Clary Middle School	1	Female	White	Yes	3	0	0	0
Clary Middle School	1	Male	Black	No	102	7	1	1
Clary Middle School	1	Male	Black	Yes	36	8	3	2
Clary Middle School	1	Male	Hispanic	No	8	0	1	0
Clary Middle School	1	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	1	Male	Other	No	12	6	0	2
Clary Middle School	1	Male	Other	Yes	7	0	1	1
Clary Middle School	1	Male	White	No	9	6	3	0
Clary Middle School	1	Male	White	Yes	7	1	1	1
Clary Middle School	2	Female	Black	No	96	3	1	1
Clary Middle School	2	Female	Black	Yes	20	0	3	0
Clary Middle School	2	Female	Hispanic	No	16	0	1	0
Clary Middle School	2	Female	Hispanic	Yes	2	0	0	1
Clary Middle School	2	Female	Other	No	11	1	0	0
Clary Middle School	2	Female	Other	Yes	2	0	0	1
Clary Middle School	2	Female	White	No	15	6	0	0
Clary Middle School	2	Female	White	Yes	3	0	0	0
Clary Middle School	2	Male	Black	No	103	0	4	1
Clary Middle School	2	Male	Black	Yes	43	2	3	1
Clary Middle School	2	Male	Hispanic	No	9	0	0	0
Clary Middle School	2	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	2	Male	Other	No	16	1	0	2
Clary Middle School	2	Male	Other	Yes	6	0	0	2
Clary Middle School	2	Male	White	No	16	1	1	0
Clary Middle School	2	Male	White	Yes	7	2	0	1
Clary Middle School	3	Female	Black	No	69	18	12	2
Clary Middle School	3	Female	Black	Yes	9	6	6	2
Clary Middle School	3	Female	Hispanic	No	10	1	5	1
Clary Middle School	3	Female	Hispanic	Yes	1	0	1	1
Clary Middle School	3	Female	Other	No	8	1	2	0
Clary Middle School	3	Female	Other	Yes	1	1	0	1
Clary Middle School	3	Female	White	No	13	5	2	1
Clary Middle School	3	Female	White	Yes	2	0	0	0
Clary Middle School	3	Male	Black	No	80	19	7	2
Clary Middle School	3	Male	Black	Yes	21	12	9	7
Clary Middle School	3	Male	Hispanic	No	7	1	0	0
Clary Middle School	3	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	3	Male	Other	No	5	7	5	1
Clary Middle School	3	Male	Other	Yes	5	2	1	0
Clary Middle School	3	Male	White	No	7	6	3	1
Clary Middle School	3	Male	White	Yes	5	0	3	2
Clary Middle School	4	Female	Black	No	82	13	3	1
Clary Middle School	4	Female	Black	Yes	16	4	2	1
Clary Middle School	4	Female	Hispanic	No	13	1	2	0
Clary Middle School	4	Female	Hispanic	Yes	1	2	0	0
Clary Middle School	4	Female	Other	No	8	0	3	0
Clary Middle School	4	Female	Other	Yes	2	0	0	1
Clary Middle School	4	Female	White	No	14	5	2	0
Clary Middle School	4	Female	White	Yes	1	0	1	0
Clary Middle School	4	Male	Black	No	86	10	5	1
Clary Middle School	4	Male	Black	Yes	28	14	3	4
Clary Middle School	4	Male	Hispanic	No	5	3	0	0
Clary Middle School	4	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	4	Male	Other	No	10	1	5	2
Clary Middle School	4	Male	Other	Yes	5	1	2	0
Clary Middle School	4	Male	White	No	11	5	0	1
Clary Middle School	4	Male	White	Yes	5	2	2	1
Clary Middle School	5	Female	Black	No	77	13	11	1
Clary Middle School	5	Female	Black	Yes	17	3	2	1
Clary Middle School	5	Female	Hispanic	No	11	3	2	0
Clary Middle School	5	Female	Hispanic	Yes	1	0	1	1
Clary Middle School	5	Female	Other	No	8	2	2	0
Clary Middle School	5	Female	Other	Yes	2	0	0	1
Clary Middle School	5	Female	White	No	9	7	4	1
Clary Middle School	5	Female	White	Yes	2	0	0	0
Clary Middle School	5	Male	Black	No	77	11	10	2
Clary Middle School	5	Male	Black	Yes	31	8	6	4
Clary Middle School	5	Male	Hispanic	No	7	1	0	0
Clary Middle School	5	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	5	Male	Other	No	11	3	1	2
Clary Middle School	5	Male	Other	Yes	4	0	1	2
Clary Middle School	5	Male	White	No	10	3	2	1
Clary Middle School	5	Male	White	Yes	7	0	3	0
Clary Middle School	6	Female	Black	No	73	15	10	2
Clary Middle School	6	Female	Black	Yes	14	6	1	1
Clary Middle School	6	Female	Hispanic	No	10	2	2	3
Clary Middle School	6	Female	Hispanic	Yes	1	0	0	2
Clary Middle School	6	Female	Other	No	8	2	2	0
Clary Middle School	6	Female	Other	Yes	1	1	0	1
Clary Middle School	6	Female	White	No	11	5	2	2
Clary Middle School	6	Female	White	Yes	1	0	1	0
Clary Middle School	6	Male	Black	No	74	19	8	2
Clary Middle School	6	Male	Black	Yes	31	10	7	1
Clary Middle School	6	Male	Hispanic	No	4	3	1	0
Clary Middle School	6	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	6	Male	Other	No	7	5	2	2
Clary Middle School	6	Male	Other	Yes	4	1	0	2
Clary Middle School	6	Male	White	No	8	5	2	0
Clary Middle School	6	Male	White	Yes	7	2	1	0
Clary Middle School	7	Female	Black	No	81	10	7	5
Clary Middle School	7	Female	Black	Yes	20	2	1	1
Clary Middle School	7	Female	Hispanic	No	10	0	4	2
Clary Middle School	7	Female	Hispanic	Yes	1	0	0	2
Clary Middle School	7	Female	Other	No	10	2	0	0
Clary Middle School	7	Female	Other	Yes	2	0	0	1
Clary Middle School	7	Female	White	No	14	5	0	1
Clary Middle School	7	Female	White	Yes	2	0	0	0
Clary Middle School	7	Male	Black	No	87	9	5	0
Clary Middle School	7	Male	Black	Yes	35	6	5	4
Clary Middle School	7	Male	Hispanic	No	7	1	0	0
Clary Middle School	7	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	7	Male	Other	No	8	4	3	1
Clary Middle School	7	Male	Other	Yes	5	0	1	1
Clary Middle School	7	Male	White	No	12	1	2	0
Clary Middle School	7	Male	White	Yes	7	0	3	0
Clary Middle School	8	Female	Black	No	85	8	5	4
Clary Middle School	8	Female	Black	Yes	18	3	2	1
Clary Middle School	8	Female	Hispanic	No	12	1	2	0
Clary Middle School	8	Female	Hispanic	Yes	2	0	0	1
Clary Middle School	8	Female	Other	No	10	1	1	0
Clary Middle School	8	Female	Other	Yes	2	0	0	1
Clary Middle School	8	Female	White	No	9	6	3	1
Clary Middle School	8	Female	White	Yes	1	0	1	0
Clary Middle School	8	Male	Black	No	81	15	2	0
Clary Middle School	8	Male	Black	Yes	36	7	3	5
Clary Middle School	8	Male	Hispanic	No	7	1	0	0
Clary Middle School	8	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	8	Male	Other	No	12	1	2	1
Clary Middle School	8	Male	Other	Yes	5	0	1	1
Clary Middle School	8	Male	White	No	12	1	2	0
Clary Middle School	8	Male	White	Yes	5	2	2	1
Clary Middle School	9	Female	Black	No	87	4	7	4
Clary Middle School	9	Female	Black	Yes	18	0	3	3
Clary Middle School	9	Female	Hispanic	No	11	3	1	0
Clary Middle School	9	Female	Hispanic	Yes	2	0	0	1
Clary Middle School	9	Female	Other	No	10	0	1	1
Clary Middle School	9	Female	Other	Yes	2	0	0	1
Clary Middle School	9	Female	White	No	11	3	3	1
Clary Middle School	9	Female	White	Yes	1	0	1	0
Clary Middle School	9	Male	Black	No	92	5	0	0
Clary Middle School	9	Male	Black	Yes	41	2	7	2
Clary Middle School	9	Male	Hispanic	No	6	1	1	0
Clary Middle School	9	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	9	Male	Other	No	10	3	1	2
Clary Middle School	9	Male	Other	Yes	4	0	1	2
Clary Middle School	9	Male	White	No	9	2	2	1
Clary Middle School	9	Male	White	Yes	6	0	2	1
Clary Middle School	10	Female	Black	No	101	0	0	1
Clary Middle School	10	Female	Black	Yes	22	0	0	2
Clary Middle School	10	Female	Hispanic	No	15	0	0	0
Clary Middle School	10	Female	Hispanic	Yes	3	0	0	0
Clary Middle School	10	Female	Other	No	11	0	0	1
Clary Middle School	10	Female	Other	Yes	2	0	0	1
Clary Middle School	10	Female	White	No	18	0	0	0
Clary Middle School	10	Female	White	Yes	2	0	0	0
Clary Middle School	10	Male	Black	No	92	0	0	5
Clary Middle School	10	Male	Black	Yes	48	0	0	3
Clary Middle School	10	Male	Hispanic	No	8	0	0	0
Clary Middle School	10	Male	Hispanic	Yes	2	0	0	0
Clary Middle School	10	Male	Other	No	15	0	0	1
Clary Middle School	10	Male	Other	Yes	6	0	0	1
Clary Middle School	10	Male	White	No	13	0	0	1
Clary Middle School	10	Male	White	Yes	8	0	0	1
Corcoran High School	1	Female	Black	No	213	69	49	36
Corcoran High School	1	Female	Black	Yes	49	10	8	10
Corcoran High School	1	Female	Hispanic	No	33	18	9	7
Corcoran High School	1	Female	Hispanic	Yes	3	1	1	2
Corcoran High School	1	Female	Other	No	36	7	4	5
Corcoran High School	1	Female	Other	Yes	1	1	1	0
Corcoran High School	1	Female	White	No	51	27	17	17
Corcoran High School	1	Female	White	Yes	9	2	3	4
Corcoran High School	1	Male	Black	No	180	55	36	22
Corcoran High School	1	Male	Black	Yes	63	19	13	21
Corcoran High School	1	Male	Hispanic	No	24	12	11	10
Corcoran High School	1	Male	Hispanic	Yes	13	2	9	2
Corcoran High School	1	Male	Other	No	28	6	10	2
Corcoran High School	1	Male	Other	Yes	7	1	1	1
Corcoran High School	1	Male	White	No	55	9	11	6
Corcoran High School	1	Male	White	Yes	11	1	1	5
Corcoran High School	2	Female	Black	No	253	32	27	49
Corcoran High School	2	Female	Black	Yes	50	6	13	7
Corcoran High School	2	Female	Hispanic	No	39	16	7	12
Corcoran High School	2	Female	Hispanic	Yes	4	0	1	2
Corcoran High School	2	Female	Other	No	40	3	6	4
Corcoran High School	2	Female	Other	Yes	2	1	0	0
Corcoran High School	2	Female	White	No	72	7	16	17
Corcoran High School	2	Female	White	Yes	11	2	4	1
Corcoran High School	2	Male	Black	No	226	14	24	39
Corcoran High School	2	Male	Black	Yes	70	10	10	25
Corcoran High School	2	Male	Hispanic	No	35	4	6	11
Corcoran High School	2	Male	Hispanic	Yes	15	3	2	7
Corcoran High School	2	Male	Other	No	27	8	7	6
Corcoran High School	2	Male	Other	Yes	6	1	1	2
Corcoran High School	2	Male	White	No	70	5	3	9
Corcoran High School	2	Male	White	Yes	11	1	1	5
Corcoran High School	3	Female	Black	No	160	82	66	56
Corcoran High School	3	Female	Black	Yes	30	14	20	11
Corcoran High School	3	Female	Hispanic	No	24	22	16	12
Corcoran High School	3	Female	Hispanic	Yes	4	1	0	2
Corcoran High School	3	Female	Other	No	32	9	7	4
Corcoran High School	3	Female	Other	Yes	0	1	2	0
Corcoran High School	3	Female	White	No	56	19	18	19
Corcoran High School	3	Female	White	Yes	7	5	2	5
Corcoran High School	3	Male	Black	No	154	62	44	44
Corcoran High School	3	Male	Black	Yes	49	21	20	24
Corcoran High School	3	Male	Hispanic	No	18	16	10	11
Corcoran High School	3	Male	Hispanic	Yes	6	12	5	4
Corcoran High School	3	Male	Other	No	22	6	12	8
Corcoran High School	3	Male	Other	Yes	5	3	0	2
Corcoran High School	3	Male	White	No	48	21	10	9
Corcoran High School	3	Male	White	Yes	7	3	3	5
Corcoran High School	4	Female	Black	No	152	75	61	73
Corcoran High School	4	Female	Black	Yes	23	13	16	20
Corcoran High School	4	Female	Hispanic	No	26	16	15	17
Corcoran High School	4	Female	Hispanic	Yes	2	1	2	2
Corcoran High School	4	Female	Other	No	28	14	8	3
Corcoran High School	4	Female	Other	Yes	0	0	2	1
Corcoran High School	4	Female	White	No	47	28	17	17
Corcoran High School	4	Female	White	Yes	7	4	4	4
Corcoran High School	4	Male	Black	No	150	64	42	42
Corcoran High School	4	Male	Black	Yes	45	21	21	27
Corcoran High School	4	Male	Hispanic	No	15	14	12	12
Corcoran High School	4	Male	Hispanic	Yes	9	7	7	5
Corcoran High School	4	Male	Other	No	23	10	4	9
Corcoran High School	4	Male	Other	Yes	6	0	2	2
Corcoran High School	4	Male	White	No	50	16	10	13
Corcoran High School	4	Male	White	Yes	4	7	1	7
Corcoran High School	5	Female	Black	No	161	66	63	65
Corcoran High School	5	Female	Black	Yes	28	14	15	14
Corcoran High School	5	Female	Hispanic	No	24	14	14	21
Corcoran High School	5	Female	Hispanic	Yes	4	2	0	1
Corcoran High School	5	Female	Other	No	30	11	7	5
Corcoran High School	5	Female	Other	Yes	0	0	1	2
Corcoran High School	5	Female	White	No	49	25	22	15
Corcoran High School	5	Female	White	Yes	8	4	3	5
Corcoran High School	5	Male	Black	No	154	55	40	43
Corcoran High School	5	Male	Black	Yes	42	19	22	28
Corcoran High School	5	Male	Hispanic	No	21	5	13	13
Corcoran High School	5	Male	Hispanic	Yes	7	8	7	7
Corcoran High School	5	Male	Other	No	21	14	4	7
Corcoran High School	5	Male	Other	Yes	4	1	1	3
Corcoran High School	5	Male	White	No	53	12	8	15
Corcoran High School	5	Male	White	Yes	7	3	2	7
Corcoran High School	6	Female	Black	No	156	50	67	74
Corcoran High School	6	Female	Black	Yes	24	10	19	16
Corcoran High School	6	Female	Hispanic	No	21	11	19	22
Corcoran High School	6	Female	Hispanic	Yes	5	0	1	1
Corcoran High School	6	Female	Other	No	33	7	7	6
Corcoran High School	6	Female	Other	Yes	0	1	0	1
Corcoran High School	6	Female	White	No	46	30	17	17
Corcoran High School	6	Female	White	Yes	7	3	4	6
Corcoran High School	6	Male	Black	No	149	49	40	50
Corcoran High School	6	Male	Black	Yes	44	18	18	29
Corcoran High School	6	Male	Hispanic	No	25	4	9	12
Corcoran High School	6	Male	Hispanic	Yes	10	6	7	6
Corcoran High School	6	Male	Other	No	22	10	11	3
Corcoran High School	6	Male	Other	Yes	4	0	2	2
Corcoran High School	6	Male	White	No	56	9	8	14
Corcoran High School	6	Male	White	Yes	9	0	3	7
Corcoran High School	7	Female	Black	No	209	31	39	65
Corcoran High School	7	Female	Black	Yes	34	2	11	20
Corcoran High School	7	Female	Hispanic	No	30	3	16	20
Corcoran High School	7	Female	Hispanic	Yes	4	0	1	0
Corcoran High School	7	Female	Other	No	35	6	5	7
Corcoran High School	7	Female	Other	Yes	0	0	1	1
Corcoran High School	7	Female	White	No	73	9	8	19
Corcoran High School	7	Female	White	Yes	11	1	4	5
Corcoran High School	7	Male	Black	No	179	30	29	42
Corcoran High School	7	Male	Black	Yes	61	7	9	29
Corcoran High School	7	Male	Hispanic	No	32	2	6	12
Corcoran High School	7	Male	Hispanic	Yes	13	3	3	9
Corcoran High School	7	Male	Other	No	25	6	8	6
Corcoran High School	7	Male	Other	Yes	6	0	0	1
Corcoran High School	7	Male	White	No	62	5	8	13
Corcoran High School	7	Male	White	Yes	10	2	1	6
Corcoran High School	8	Female	Black	No	153	68	53	57
Corcoran High School	8	Female	Black	Yes	25	16	5	20
Corcoran High School	8	Female	Hispanic	No	19	14	18	18
Corcoran High School	8	Female	Hispanic	Yes	3	2	0	0
Corcoran High School	8	Female	Other	No	32	12	1	8
Corcoran High School	8	Female	Other	Yes	0	0	1	1
Corcoran High School	8	Female	White	No	52	24	18	14
Corcoran High School	8	Female	White	Yes	9	2	6	5
Corcoran High School	8	Male	Black	No	149	50	30	44
Corcoran High School	8	Male	Black	Yes	48	15	10	28
Corcoran High School	8	Male	Hispanic	No	28	7	7	7
Corcoran High School	8	Male	Hispanic	Yes	8	3	8	9
Corcoran High School	8	Male	Other	No	24	11	4	6
Corcoran High School	8	Male	Other	Yes	3	3	0	1
Corcoran High School	8	Male	White	No	50	20	4	12
Corcoran High School	8	Male	White	Yes	9	3	1	4
Corcoran High School	9	Female	Black	No	191	36	35	55
Corcoran High School	9	Female	Black	Yes	33	7	8	13
Corcoran High School	9	Female	Hispanic	No	33	10	7	19
Corcoran High School	9	Female	Hispanic	Yes	4	0	1	0
Corcoran High School	9	Female	Other	No	38	6	3	6
Corcoran High School	9	Female	Other	Yes	0	0	1	0
Corcoran High School	9	Female	White	No	71	10	10	16
Corcoran High School	9	Female	White	Yes	11	0	2	9
Corcoran High School	9	Male	Black	No	176	14	26	42
Corcoran High School	9	Male	Black	Yes	51	8	9	32
Corcoran High School	9	Male	Hispanic	No	33	4	4	6
Corcoran High School	9	Male	Hispanic	Yes	15	2	2	9
Corcoran High School	9	Male	Other	No	31	1	4	9
Corcoran High School	9	Male	Other	Yes	6	1	0	0
Corcoran High School	9	Male	White	No	63	6	2	12
Corcoran High School	9	Male	White	Yes	12	0	0	5
Corcoran High School	10	Female	Black	No	263	0	0	51
Corcoran High School	10	Female	Black	Yes	52	0	0	9
Corcoran High School	10	Female	Hispanic	No	54	0	0	15
Corcoran High School	10	Female	Hispanic	Yes	5	0	0	0
Corcoran High School	10	Female	Other	No	49	0	0	3
Corcoran High School	10	Female	Other	Yes	1	0	0	0
Corcoran High School	10	Female	White	No	98	0	0	7
Corcoran High School	10	Female	White	Yes	15	0	0	6
Corcoran High School	10	Male	Black	No	219	0	0	34
Corcoran High School	10	Male	Black	Yes	77	0	0	16
Corcoran High School	10	Male	Hispanic	No	42	0	0	3
Corcoran High School	10	Male	Hispanic	Yes	23	0	0	5
Corcoran High School	10	Male	Other	No	41	0	0	3
Corcoran High School	10	Male	Other	Yes	7	0	0	0
Corcoran High School	10	Male	White	No	74	0	0	7
Corcoran High School	10	Male	White	Yes	12	0	0	4
Danforth Middle School	1	Female	Black	No	96	24	6	4
Danforth Middle School	1	Female	Black	Yes	6	0	1	3
Danforth Middle School	1	Female	Hispanic	No	9	3	1	0
Danforth Middle School	1	Female	Hispanic	Yes	2	0	1	2
Danforth Middle School	1	Female	Other	No	4	0	0	1
Danforth Middle School	1	Female	White	No	0	2	1	1
Danforth Middle School	1	Female	White	Yes	1	0	0	1
Danforth Middle School	1	Male	Black	No	87	18	4	5
